Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-16.850000,26.225000,180.000000,bottom
"C1","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",8.300000,20.850000,0.000000,top
"C2","10nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",20.700000,22.575000,0.000000,top
"C3","DNI","C_Disc_D3.8mm_W2.6mm_P2.50mm",25.850000,10.325000,0.000000,top
"C4","1uF","CP_Radial_D5.0mm_P2.50mm",10.050000,14.500000,180.000000,top
"D1","1N4148","Diode_DO-35_P10mm",2.400000,12.200000,90.000000,top
"D2","1N4148","Diode_DO-35_P10mm",5.050000,21.950000,-90.000000,top
"J1","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",11.435000,1.500000,90.000000,top
"R1","2K2","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",16.825000,22.900000,90.000000,top
"R2","2K2","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",2.250000,8.475000,0.000000,top
"R3","100K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",5.100000,39.650000,-90.000000,top
"R4","50K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",23.125000,39.650000,-90.000000,top
"U1","555","DIP-8_W7.62mm",13.050000,12.325000,90.000000,top
